from,to
 100,0000.3
 110,0000.3
1000,1000.1
1100,1110.1
1110,1111.1
1120,1112.1
1130,1113.1
1140,1114.1
1141,1114.1
1142,1114.1
1143,1114.1
1200,1200.1
1210,1120.1
1220,1300.2
1221,1311.2
1222,1321.2
1223,1323.2
1224,1420.1
1225,1410.2
1226,1324.2
1227,1219.2
1228,1219.1
1229,1300.9
1230,1200.1
1231,1211.2
1232,1212.1
1233,1221.1
1234,1222.1
1235,1324.1
1236,1330.1
1237,1223.1
1239,1213.1
1240,3341.1
1300,1400.1
1310,1400.1
1311,6130.9
1312,1321.2
1313,1323.1
1314,1420.2
1315,1410.2
1316,1324.2
1317,1210.7
1318,1219.1
1319,1340.9
2000,2000.1
2100,2100.1
2110,2110.1
2111,2111.1
2112,2112.1
2113,2113.2
2114,2114.1
2120,2120.1
2121,2120.1
2122,2120.1
2130,2500.3
2131,2500.7
2132,2510.3
2139,2519.3
2140,2140.2
2141,2160.3
2142,2142.1
2143,2151.1
2144,2150.2
2145,2144.1
2146,2145.1
2147,2146.1
2148,2165.1
2149,2149.3
2200,2200.2
2210,2130.1
2211,2130.2
2212,2212.3
2213,2132.1
2220,2200.2
2221,2210.2
2222,2261.1
2223,2250.1
2224,2262.1
2229,2260.2
2230,2220.6
2300,2300.1
2310,2310.2
2320,2330.2
2321,2330.1
2322,2320.1
2323,2330.1
2330,2340.1
2331,2341.1
2332,2342.1
2340,2352.1
2350,2350.1
2351,2351.1
2352,2351.1
2359,2359.5
2400,2400.1
2410,2410.1
2411,2411.2
2412,2423.3
2419,2400.7
2420,2610.2
2421,2611.1
2422,2612.1
2429,2619.1
2430,2620.1
2431,2621.1
2432,2622.1
2440,2630.1
2441,2631.1
2442,2632.1
2443,2633.1
2444,2643.1
2445,2634.1
2446,2635.1
2450,2640.1
2451,2640.4
2452,2651.1
2453,2652.1
2454,2653.1
2455,2655.2
2460,2636.1
2470,2422.1
3000,3000.1
3100,3100.2
3110,3110.1
3111,3111.1
3112,3112.1
3113,3113.1
3114,3114.2
3115,3115.1
3116,3116.1
3117,3117.1
3118,3118.1
3119,3119.1
3120,3510.1
3121,3510.3
3122,3511.2
3123,3139.1
3130,3520.1
3131,3521.2
3132,3521.2
3133,3211.1
3139,3211.1
3140,3150.1
3141,3151.1
3142,3152.1
3143,3153.1
3144,3154.1
3145,3155.1
3150,7544.1
3151,3359.2
3152,3110.7
3200,3200.1
3210,3140.1
3211,3212.2
3212,3142.2
3213,2132.1
3220,3250.3
3221,3256.3
3222,3257.2
3223,2265.1
3224,3254.2
3225,3251.1
3226,2264.4
3227,3240.1
3228,3213.1
3229,3259.5
3230,3220.1
3231,3221.1
3232,3222.1
3240,3230.1
